name,description,price,images,category,stock
"Sample Product 1","A great product",19.99,"[\"https://via.placeholder.com/150\"]","Electronics",50
"Sample Product 2","Another great product",29.99,"[\"https://via.placeholder.com/150\"]","Books",30
"Sample Product 3","Yet another product",9.99,"[\"https://via.placeholder.com/150\"]","Toys",100
"Sample Product 4","A must-have item",49.99,"[\"https://via.placeholder.com/150\"]","Home",20
"Sample Product 5","Top-rated gadget",99.99,"[\"https://via.placeholder.com/150\"]","Electronics",15
"Sample Product 6","Fun for all ages",14.99,"[\"https://via.placeholder.com/150\"]","Toys",80
"Sample Product 7","Bestselling book",24.99,"[\"https://via.placeholder.com/150\"]","Books",60
"Sample Product 8","Stylish fashion",39.99,"[\"https://via.placeholder.com/150\"]","Fashion",40
"Sample Product 9","Home essential",12.99,"[\"https://via.placeholder.com/150\"]","Home",70
"Sample Product 10","Sports gear",59.99,"[\"https://via.placeholder.com/150\"]","Sports",25
"Sample Product 11","A great product",19.99,"[\"https://via.placeholder.com/150\"]","Electronics",50
"Sample Product 12","Another great product",29.99,"[\"https://via.placeholder.com/150\"]","Books",30
"Sample Product 13","Yet another product",9.99,"[\"https://via.placeholder.com/150\"]","Toys",100
"Sample Product 14","A must-have item",49.99,"[\"https://via.placeholder.com/150\"]","Home",20
"Sample Product 15","Top-rated gadget",99.99,"[\"https://via.placeholder.com/150\"]","Electronics",15
"Sample Product 16","Fun for all ages",14.99,"[\"https://via.placeholder.com/150\"]","Toys",80
"Sample Product 17","Bestselling book",24.99,"[\"https://via.placeholder.com/150\"]","Books",60
"Sample Product 18","Stylish fashion",39.99,"[\"https://via.placeholder.com/150\"]","Fashion",40
"Sample Product 19","Home essential",12.99,"[\"https://via.placeholder.com/150\"]","Home",70
"Sample Product 20","Sports gear",59.99,"[\"https://via.placeholder.com/150\"]","Sports",25
"Sample Product 21","A great product",19.99,"[\"https://via.placeholder.com/150\"]","Electronics",50
"Sample Product 22","Another great product",29.99,"[\"https://via.placeholder.com/150\"]","Books",30
"Sample Product 23","Yet another product",9.99,"[\"https://via.placeholder.com/150\"]","Toys",100
"Sample Product 24","A must-have item",49.99,"[\"https://via.placeholder.com/150\"]","Home",20
"Sample Product 25","Top-rated gadget",99.99,"[\"https://via.placeholder.com/150\"]","Electronics",15
"Sample Product 26","Fun for all ages",14.99,"[\"https://via.placeholder.com/150\"]","Toys",80
"Sample Product 27","Bestselling book",24.99,"[\"https://via.placeholder.com/150\"]","Books",60
"Sample Product 28","Stylish fashion",39.99,"[\"https://via.placeholder.com/150\"]","Fashion",40
"Sample Product 29","Home essential",12.99,"[\"https://via.placeholder.com/150\"]","Home",70
"Sample Product 30","Sports gear",59.99,"[\"https://via.placeholder.com/150\"]","Sports",25
"Sample Product 31","A great product",19.99,"[\"https://via.placeholder.com/150\"]","Electronics",50
"Sample Product 32","Another great product",29.99,"[\"https://via.placeholder.com/150\"]","Books",30
"Sample Product 33","Yet another product",9.99,"[\"https://via.placeholder.com/150\"]","Toys",100
